language,symbol,kind,source_rule
go,_string_literal,NONTERMINAL,field_declaration
go,_type,NONTERMINAL,field_declaration
go,_type_identifier,NONTERMINAL,field_declaration
go,generic_type,NONTERMINAL,field_declaration
go,qualified_type,NONTERMINAL,field_declaration
go,_interface_elem,NONTERMINAL,interface_type
go,method_elem,NONTERMINAL,_interface_elem
go,type_elem,NONTERMINAL,_interface_elem
go,_field_identifier,NONTERMINAL,method_elem
go,_simple_type,NONTERMINAL,method_elem
go,parameter_list,NONTERMINAL,method_elem
go,_type,NONTERMINAL,type_elem
go,_type,NONTERMINAL,map_type
go,_type,NONTERMINAL,channel_type
go,_simple_type,NONTERMINAL,function_type
go,parameter_list,NONTERMINAL,function_type
go,statement_list,NONTERMINAL,block
go,_statement,NONTERMINAL,statement_list
go,empty_labeled_statement,NONTERMINAL,statement_list
go,_declaration,NONTERMINAL,_statement
go,_simple_statement,NONTERMINAL,_statement
go,block,NONTERMINAL,_statement
go,break_statement,NONTERMINAL,_statement
go,continue_statement,NONTERMINAL,_statement
go,defer_statement,NONTERMINAL,_statement
go,empty_statement,NONTERMINAL,_statement
go,expression_switch_statement,NONTERMINAL,_statement
go,fallthrough_statement,NONTERMINAL,_statement
go,for_statement,NONTERMINAL,_statement
go,go_statement,NONTERMINAL,_statement
go,goto_statement,NONTERMINAL,_statement
go,if_statement,NONTERMINAL,_statement
go,labeled_statement,NONTERMINAL,_statement
go,return_statement,NONTERMINAL,_statement
go,select_statement,NONTERMINAL,_statement
go,type_switch_statement,NONTERMINAL,_statement
go,assignment_statement,NONTERMINAL,_simple_statement
go,dec_statement,NONTERMINAL,_simple_statement
go,expression_statement,NONTERMINAL,_simple_statement
go,inc_statement,NONTERMINAL,_simple_statement
go,send_statement,NONTERMINAL,_simple_statement
go,short_var_declaration,NONTERMINAL,_simple_statement
go,_expression,NONTERMINAL,expression_statement
go,_expression,NONTERMINAL,send_statement
go,_expression,NONTERMINAL,receive_statement
go,expression_list,NONTERMINAL,receive_statement
go,_expression,NONTERMINAL,inc_statement
go,_expression,NONTERMINAL,dec_statement
go,expression_list,NONTERMINAL,assignment_statement
go,expression_list,NONTERMINAL,short_var_declaration
go,_statement,NONTERMINAL,labeled_statement
go,identifier,NONTERMINAL,labeled_statement
go,identifier,NONTERMINAL,empty_labeled_statement
go,identifier,NONTERMINAL,break_statement
go,identifier,NONTERMINAL,continue_statement
go,identifier,NONTERMINAL,goto_statement
go,expression_list,NONTERMINAL,return_statement
go,_expression,NONTERMINAL,go_statement
go,_expression,NONTERMINAL,defer_statement
go,_expression,NONTERMINAL,if_statement
go,_simple_statement,NONTERMINAL,if_statement
go,block,NONTERMINAL,if_statement
go,if_statement,NONTERMINAL,if_statement
go,_expression,NONTERMINAL,for_statement
go,block,NONTERMINAL,for_statement
go,for_clause,NONTERMINAL,for_statement
go,range_clause,NONTERMINAL,for_statement
