language,rule,path,operation,name,value
r,subset2_arguments,$,SEQ,,
r,subset2_arguments,$.members[0],FIELD,open,
r,subset2_arguments,$.members[0].content,SYMBOL,_open_bracket2,
r,subset2_arguments,$.members[1],SEQ,,
r,subset2_arguments,$.members[1].members[0],CHOICE,,
r,subset2_arguments,$.members[1].members[0].members[0],FIELD,argument,
r,subset2_arguments,$.members[1].members[0].members[0].content,SYMBOL,argument,
r,subset2_arguments,$.members[1].members[0].members[1],BLANK,,
r,subset2_arguments,$.members[1].members[1],REPEAT,,
r,subset2_arguments,$.members[1].members[1].content,SEQ,,
r,subset2_arguments,$.members[1].members[1].content.members[0],SYMBOL,comma,
r,subset2_arguments,$.members[1].members[1].content.members[1],CHOICE,,
r,subset2_arguments,$.members[1].members[1].content.members[1].members[0],FIELD,argument,
r,subset2_arguments,$.members[1].members[1].content.members[1].members[0].content,SYMBOL,argument,
r,subset2_arguments,$.members[1].members[1].content.members[1].members[1],BLANK,,
r,subset2_arguments,$.members[2],FIELD,close,
r,subset2_arguments,$.members[2].content,SYMBOL,_close_bracket2,
r,argument,$,CHOICE,,
r,argument,$.members[0],SYMBOL,_argument_named,
r,argument,$.members[1],SYMBOL,_argument_unnamed,
r,_argument_named,$,SEQ,,
r,_argument_named,$.members[0],FIELD,name,
r,_argument_named,$.members[0].content,SYMBOL,_argument_name_string_or_identifier_or_null,
r,_argument_named,$.members[1],STRING,,"""="""
r,_argument_named,$.members[2],CHOICE,,
r,_argument_named,$.members[2].members[0],SYMBOL,_argument_value,
r,_argument_named,$.members[2].members[1],BLANK,,
r,_argument_unnamed,$,SYMBOL,_argument_value,
r,_argument_value,$,FIELD,value,
r,_argument_value,$.content,SYMBOL,_expression,
r,unary_operator,$,CHOICE,,
r,unary_operator,$.members[0],PREC_LEFT,,1
r,unary_operator,$.members[0].content,SEQ,,
r,unary_operator,$.members[0].content.members[0],FIELD,operator,
r,unary_operator,$.members[0].content.members[0].content,STRING,,"""?"""
r,unary_operator,$.members[0].content.members[1],REPEAT,,
r,unary_operator,$.members[0].content.members[1].content,SYMBOL,_newline,
r,unary_operator,$.members[0].content.members[2],FIELD,rhs,
r,unary_operator,$.members[0].content.members[2].content,SYMBOL,_expression,
r,unary_operator,$.members[1],PREC_LEFT,,7
r,unary_operator,$.members[1].content,SEQ,,
r,unary_operator,$.members[1].content.members[0],FIELD,operator,
r,unary_operator,$.members[1].content.members[0].content,STRING,,"""~"""
r,unary_operator,$.members[1].content.members[1],REPEAT,,
r,unary_operator,$.members[1].content.members[1].content,SYMBOL,_newline,
r,unary_operator,$.members[1].content.members[2],FIELD,rhs,
r,unary_operator,$.members[1].content.members[2].content,SYMBOL,_expression,
r,unary_operator,$.members[2],PREC_LEFT,,10
r,unary_operator,$.members[2].content,SEQ,,
r,unary_operator,$.members[2].content.members[0],FIELD,operator,
r,unary_operator,$.members[2].content.members[0].content,STRING,,"""!"""
r,unary_operator,$.members[2].content.members[1],REPEAT,,
r,unary_operator,$.members[2].content.members[1].content,SYMBOL,_newline,
r,unary_operator,$.members[2].content.members[2],FIELD,rhs,
r,unary_operator,$.members[2].content.members[2].content,SYMBOL,_expression,
r,unary_operator,$.members[3],PREC_LEFT,,16
r,unary_operator,$.members[3].content,SEQ,,
r,unary_operator,$.members[3].content.members[0],FIELD,operator,
r,unary_operator,$.members[3].content.members[0].content,STRING,,"""+"""
r,unary_operator,$.members[3].content.members[1],REPEAT,,
r,unary_operator,$.members[3].content.members[1].content,SYMBOL,_newline,
r,unary_operator,$.members[3].content.members[2],FIELD,rhs,
r,unary_operator,$.members[3].content.members[2].content,SYMBOL,_expression,
r,unary_operator,$.members[4],PREC_LEFT,,16
r,unary_operator,$.members[4].content,SEQ,,
