language,repository,rule,path,parent_path,depth,member_index,op_type,name,value,named,payload_json
r,r-lib/tree-sitter-r,_parameter_name,$,,0,,FIELD,name,,,"{""type"":""FIELD"",""name"":""name"",""content"":{""type"":""SYMBOL"",""name"":""_identifier""}}"
r,r-lib/tree-sitter-r,_parameter_name,$.content,$,1,content,SYMBOL,_identifier,,,"{""type"":""SYMBOL"",""name"":""_identifier""}"
r,r-lib/tree-sitter-r,if_statement,$,,0,,PREC_RIGHT,,3,,"{""type"":""PREC_RIGHT"",""value"":3,""content"":{""type"":""SEQ"",""members"":[{""type"":""STRING"",""value"":""if""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}},{""type"":""FIELD"",""name"":""condition"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""consequence"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""CHOICE"",""members"":[{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""_else""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""alternative"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]},{""type"":""BLANK""}]}]}}"
r,r-lib/tree-sitter-r,if_statement,$.content,$,1,content,SEQ,,,,"{""type"":""SEQ"",""members"":[{""type"":""STRING"",""value"":""if""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}},{""type"":""FIELD"",""name"":""condition"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""consequence"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""CHOICE"",""members"":[{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""_else""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""alternative"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]},{""type"":""BLANK""}]}]}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[0],$.content,2,0,STRING,,"""if""",,"{""type"":""STRING"",""value"":""if""}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[1],$.content,2,1,REPEAT,,,,"{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[1].content,$.content.members[1],3,content,SYMBOL,_newline,,,"{""type"":""SYMBOL"",""name"":""_newline""}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[2],$.content,2,2,FIELD,open,,,"{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[2].content,$.content.members[2],3,content,SYMBOL,_open_parenthesis,,,"{""type"":""SYMBOL"",""name"":""_open_parenthesis""}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[3],$.content,2,3,FIELD,condition,,,"{""type"":""FIELD"",""name"":""condition"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[3].content,$.content.members[3],3,content,SYMBOL,_expression,,,"{""type"":""SYMBOL"",""name"":""_expression""}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[4],$.content,2,4,FIELD,close,,,"{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[4].content,$.content.members[4],3,content,SYMBOL,_close_parenthesis,,,"{""type"":""SYMBOL"",""name"":""_close_parenthesis""}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[5],$.content,2,5,REPEAT,,,,"{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[5].content,$.content.members[5],3,content,SYMBOL,_newline,,,"{""type"":""SYMBOL"",""name"":""_newline""}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[6],$.content,2,6,FIELD,consequence,,,"{""type"":""FIELD"",""name"":""consequence"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[6].content,$.content.members[6],3,content,SYMBOL,_expression,,,"{""type"":""SYMBOL"",""name"":""_expression""}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[7],$.content,2,7,CHOICE,,,,"{""type"":""CHOICE"",""members"":[{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""_else""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""alternative"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]},{""type"":""BLANK""}]}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[7].members[0],$.content.members[7],3,0,SEQ,,,,"{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""_else""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""alternative"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[7].members[0].members[0],$.content.members[7].members[0],4,0,SYMBOL,_else,,,"{""type"":""SYMBOL"",""name"":""_else""}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[7].members[0].members[1],$.content.members[7].members[0],4,1,REPEAT,,,,"{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[7].members[0].members[1].content,$.content.members[7].members[0].members[1],5,content,SYMBOL,_newline,,,"{""type"":""SYMBOL"",""name"":""_newline""}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[7].members[0].members[2],$.content.members[7].members[0],4,2,FIELD,alternative,,,"{""type"":""FIELD"",""name"":""alternative"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[7].members[0].members[2].content,$.content.members[7].members[0].members[2],5,content,SYMBOL,_expression,,,"{""type"":""SYMBOL"",""name"":""_expression""}"
r,r-lib/tree-sitter-r,if_statement,$.content.members[7].members[1],$.content.members[7],3,1,BLANK,,,,"{""type"":""BLANK""}"
r,r-lib/tree-sitter-r,for_statement,$,,0,,PREC_LEFT,,2,,"{""type"":""PREC_LEFT"",""value"":2,""content"":{""type"":""SEQ"",""members"":[{""type"":""STRING"",""value"":""for""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}},{""type"":""FIELD"",""name"":""variable"",""content"":{""type"":""SYMBOL"",""name"":""_identifier""}},{""type"":""STRING"",""value"":""in""},{""type"":""FIELD"",""name"":""sequence"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}}"
r,r-lib/tree-sitter-r,for_statement,$.content,$,1,content,SEQ,,,,"{""type"":""SEQ"",""members"":[{""type"":""STRING"",""value"":""for""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}},{""type"":""FIELD"",""name"":""variable"",""content"":{""type"":""SYMBOL"",""name"":""_identifier""}},{""type"":""STRING"",""value"":""in""},{""type"":""FIELD"",""name"":""sequence"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[0],$.content,2,0,STRING,,"""for""",,"{""type"":""STRING"",""value"":""for""}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[1],$.content,2,1,REPEAT,,,,"{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[1].content,$.content.members[1],3,content,SYMBOL,_newline,,,"{""type"":""SYMBOL"",""name"":""_newline""}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[2],$.content,2,2,FIELD,open,,,"{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[2].content,$.content.members[2],3,content,SYMBOL,_open_parenthesis,,,"{""type"":""SYMBOL"",""name"":""_open_parenthesis""}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[3],$.content,2,3,FIELD,variable,,,"{""type"":""FIELD"",""name"":""variable"",""content"":{""type"":""SYMBOL"",""name"":""_identifier""}}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[3].content,$.content.members[3],3,content,SYMBOL,_identifier,,,"{""type"":""SYMBOL"",""name"":""_identifier""}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[4],$.content,2,4,STRING,,"""in""",,"{""type"":""STRING"",""value"":""in""}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[5],$.content,2,5,FIELD,sequence,,,"{""type"":""FIELD"",""name"":""sequence"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[5].content,$.content.members[5],3,content,SYMBOL,_expression,,,"{""type"":""SYMBOL"",""name"":""_expression""}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[6],$.content,2,6,FIELD,close,,,"{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[6].content,$.content.members[6],3,content,SYMBOL,_close_parenthesis,,,"{""type"":""SYMBOL"",""name"":""_close_parenthesis""}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[7],$.content,2,7,REPEAT,,,,"{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[7].content,$.content.members[7],3,content,SYMBOL,_newline,,,"{""type"":""SYMBOL"",""name"":""_newline""}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[8],$.content,2,8,FIELD,body,,,"{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,for_statement,$.content.members[8].content,$.content.members[8],3,content,SYMBOL,_expression,,,"{""type"":""SYMBOL"",""name"":""_expression""}"
r,r-lib/tree-sitter-r,while_statement,$,,0,,PREC_LEFT,,2,,"{""type"":""PREC_LEFT"",""value"":2,""content"":{""type"":""SEQ"",""members"":[{""type"":""STRING"",""value"":""while""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}},{""type"":""FIELD"",""name"":""condition"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}}"
r,r-lib/tree-sitter-r,while_statement,$.content,$,1,content,SEQ,,,,"{""type"":""SEQ"",""members"":[{""type"":""STRING"",""value"":""while""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}},{""type"":""FIELD"",""name"":""condition"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}"
r,r-lib/tree-sitter-r,while_statement,$.content.members[0],$.content,2,0,STRING,,"""while""",,"{""type"":""STRING"",""value"":""while""}"
r,r-lib/tree-sitter-r,while_statement,$.content.members[1],$.content,2,1,REPEAT,,,,"{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}}"
r,r-lib/tree-sitter-r,while_statement,$.content.members[1].content,$.content.members[1],3,content,SYMBOL,_newline,,,"{""type"":""SYMBOL"",""name"":""_newline""}"
r,r-lib/tree-sitter-r,while_statement,$.content.members[2],$.content,2,2,FIELD,open,,,"{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}}"
r,r-lib/tree-sitter-r,while_statement,$.content.members[2].content,$.content.members[2],3,content,SYMBOL,_open_parenthesis,,,"{""type"":""SYMBOL"",""name"":""_open_parenthesis""}"
r,r-lib/tree-sitter-r,while_statement,$.content.members[3],$.content,2,3,FIELD,condition,,,"{""type"":""FIELD"",""name"":""condition"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,while_statement,$.content.members[3].content,$.content.members[3],3,content,SYMBOL,_expression,,,"{""type"":""SYMBOL"",""name"":""_expression""}"
r,r-lib/tree-sitter-r,while_statement,$.content.members[4],$.content,2,4,FIELD,close,,,"{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}}"
r,r-lib/tree-sitter-r,while_statement,$.content.members[4].content,$.content.members[4],3,content,SYMBOL,_close_parenthesis,,,"{""type"":""SYMBOL"",""name"":""_close_parenthesis""}"
r,r-lib/tree-sitter-r,while_statement,$.content.members[5],$.content,2,5,REPEAT,,,,"{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}}"
r,r-lib/tree-sitter-r,while_statement,$.content.members[5].content,$.content.members[5],3,content,SYMBOL,_newline,,,"{""type"":""SYMBOL"",""name"":""_newline""}"
r,r-lib/tree-sitter-r,while_statement,$.content.members[6],$.content,2,6,FIELD,body,,,"{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,while_statement,$.content.members[6].content,$.content.members[6],3,content,SYMBOL,_expression,,,"{""type"":""SYMBOL"",""name"":""_expression""}"
r,r-lib/tree-sitter-r,repeat_statement,$,,0,,PREC_LEFT,,2,,"{""type"":""PREC_LEFT"",""value"":2,""content"":{""type"":""SEQ"",""members"":[{""type"":""STRING"",""value"":""repeat""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}}"
r,r-lib/tree-sitter-r,repeat_statement,$.content,$,1,content,SEQ,,,,"{""type"":""SEQ"",""members"":[{""type"":""STRING"",""value"":""repeat""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}"
r,r-lib/tree-sitter-r,repeat_statement,$.content.members[0],$.content,2,0,STRING,,"""repeat""",,"{""type"":""STRING"",""value"":""repeat""}"
